tracking_time_ns,capture_time_ns,pose_sample_index,source,phase,peak_relative_0_100,contact_strength,palm_relative_0_100,index_relative_0_100,middle_relative_0_100,ring_relative_0_100,little_relative_0_100,thumb_relative_0_100,endpoint_hold
0,1789025759418458000,0,video_contact_and_recorded_pose,Grasping handle,12.5,0.18,0.8,12.2,12.5,3.1,0.8,12.2,False
40004000,1789025759458462000,2,video_contact_and_recorded_pose,Grasping handle,12.9,0.18178405216432583,0.8,12.5,12.9,3.1,0.8,12.2,False
80004000,1789025759498462000,5,video_contact_and_recorded_pose,Grasping handle,13.7,0.18680361008776286,0.8,12.9,13.7,3.5,0.8,12.5,False
120004000,1789025759538462000,8,video_contact_and_recorded_pose,Grasping handle,14.5,0.1945608960111999,0.8,13.3,14.5,3.5,1.2,12.9,False
160009000,1789025759578467000,11,video_contact_and_recorded_pose,Grasping handle,15.3,0.2045595010811361,1.2,14.1,15.3,3.9,1.2,13.3,False
200009000,1789025759618467000,14,video_contact_and_recorded_pose,Grasping handle,16.5,0.21629909632779537,1.2,14.9,16.5,3.9,1.2,14.1,False
260013000,1789025759678471000,18,video_contact_and_recorded_pose,Grasping handle,18,0.2360874321003601,1.2,16.1,18,4.3,1.2,15.3,False
300014000,1789025759718472000,21,video_contact_and_recorded_pose,Grasping handle,19.2,0.2500048999999964,1.2,16.9,19.2,4.7,1.2,16.1,False
320018000,1789025759738476000,22,video_contact_and_recorded_pose,Grasping handle,19.6,0.2569959016044221,1.2,17.3,19.6,4.7,1.2,16.5,False
360018000,1789025759778476000,25,video_contact_and_recorded_pose,Grasping handle,20.8,0.2707260479243925,1.2,18.4,20.8,5.1,1.6,17.3,False
400018000,1789025759818476000,28,video_contact_and_recorded_pose,Grasping handle,21.6,0.2837093035776962,1.6,19.6,21.6,5.5,1.6,18,False
420023000,1789025759838481000,30,video_contact_and_recorded_pose,Grasping handle,22,0.28976676175311755,1.6,21.2,22,5.5,1.6,18.8,False
460023000,1789025759878481000,33,video_contact_and_recorded_pose,Grasping handle,22.7,0.3006961302634213,1.6,22.7,22.4,5.5,1.6,19.6,False
