frame_index,pair_index,t_sync_us,frame_duration_us,left_frame_index,right_frame_index
0,0,0,140009,0,0
1,1,140009,20000,3,4
2,2,160009,80005,4,5
3,3,240014,120004,6,7
4,4,360018,20001,9,10
5,5,380019,80004,10,11
6,6,460023,200009,12,13
7,7,660032,20000,17,18
8,8,680032,40005,18,19
9,9,720037,140005,19,20
10,10,860042,40004,22,24
11,11,900046,60000,23,25
12,12,960046,80005,25,27
13,13,1040051,40004,27,29
14,14,1080055,120005,28,30
15,15,1200060,40000,31,33
16,16,1240060,120009,32,34
17,17,1360069,140005,35,37
18,18,1500074,140005,38,41
19,19,1640079,80004,42,44
20,20,1720083,60005,44,47
21,21,1780088,40000,46,48
22,22,1820088,40004,47,49
23,23,1860092,100005,48,50
24,24,1960097,40000,51,52
25,25,2000097,80005,52,54
26,26,2080102,40000,54,56
27,27,2120102,40004,55,57
28,28,2160106,40000,56,58
29,29,2200106,80005,57,59
30,30,2280111,40004,59,61
31,31,2320115,40001,60,62
32,32,2360116,60004,61,63
33,33,2420120,100005,63,65
34,34,2520125,20000,66,68
35,35,2540125,60000,67,69
36,36,2600125,20004,68,70
37,37,2620129,40001,69,71
38,38,2660130,60004,70,72
39,39,2720134,80005,71,73
40,40,2800139,20000,73,75
41,41,2820139,220009,74,76
42,42,3040148,160009,80,81
43,43,3200157,40000,84,86
44,44,3240157,180010,85,87
45,45,3420167,20000,90,91
46,46,3440167,100004,91,92
47,47,3540171,60005,93,95
48,48,3600176,160009,95,97
49,49,3760185,100005,99,101
50,50,3860190,40000,101,104
51,51,3900190,60004,102,105
52,52,3960194,40000,104,106
53,53,4000194,160009,105,107
54,54,4160203,40001,109,112
55,55,4200204,40004,110,113
56,56,4240208,80000,111,114
57,57,4320208,40005,113,117
58,58,4360213,60000,114,118
59,59,4420213,220014,116,119
60,60,4640227,80004,122,125
61,61,4720231,40000,124,127
62,62,4760231,140005,125,129
63,63,4900236,120009,129,132
64,64,5020245,100005,132,136
65,65,5120250,40000,135,138
66,66,5160250,40004,136,139
67,67,5200254,80001,137,140
68,68,5280255,80004,139,142
69,69,5360259,100005,141,144
70,70,5460264,40004,144,146
71,71,5500268,40000,145,148
72,72,5540268,100005,146,149
73,73,5640273,40004,149,151
74,74,5680277,120005,150,153
75,75,5800282,240010,153,155
76,76,6040292,40004,159,162
77,77,6080296,100005,160,163
78,78,6180301,100004,163,166
79,79,6280305,20000,166,168
80,80,6300305,40000,167,169
81,81,6340305,60005,168,170
82,82,6400310,20000,169,171
83,83,6420310,80005,170,172
84,84,6500315,80004,172,173
85,85,6580319,40000,174,176
86,86,6620319,100005,176,177
87,87,6720324,60005,178,180
88,88,6780329,80004,180,181
89,89,6860333,40000,182,184
90,90,6900333,60005,183,185
91,91,6960338,40000,185,186
92,92,7000338,40004,186,187
93,93,7040342,40000,187,189
94,94,7080342,60005,188,190
95,95,7140347,60000,190,191
96,96,7200347,100005,191,193
97,97,7300352,80004,194,196
98,98,7380356,60005,196,198
99,99,7440361,60000,198,200
100,100,7500361,40004,199,202
101,101,7540365,60005,200,203
102,102,7600370,40000,202,204
103,103,7640370,60005,203,206
104,104,7700375,100004,204,207
105,105,7800379,40000,207,210
106,106,7840379,20000,208,211
107,107,7860379,140010,209,212
108,108,8000389,20000,212,215
109,109,8020389,40000,213,216
110,110,8060389,20004,214,217
111,111,8080393,80000,215,218
112,112,8160393,160009,217,220
113,113,8320402,40001,221,224
114,114,8360403,160009,222,225
115,115,8520412,40004,226,229
116,116,8560416,80001,227,230
117,117,8640417,100004,230,232
118,118,8740421,140009,232,235
119,119,8880430,120005,236,239
120,120,9000435,180009,240,241
121,121,9180444,100005,244,247
122,122,9280449,60004,247,249
123,123,9340453,160005,249,251
124,124,9500458,60005,253,256
125,125,9560463,100004,255,257
126,126,9660467,40000,257,259
127,127,9700467,40005,259,260
128,128,9740472,180009,260,261
129,129,9920481,40000,265,266
130,130,9960481,40005,266,268
131,131,10000486,80000,267,269
132,132,10080486,80005,269,271
133,133,10160491,200009,271,273
134,134,10360500,140009,277,278
135,135,10500509,100005,280,282
136,136,10600514,60000,283,284
137,137,10660514,60004,285,286
138,138,10720518,140005,287,288
139,139,10860523,100009,290,292
140,140,10960532,120005,293,294
141,141,11080537,60000,296,298
142,142,11140537,160009,298,299
143,143,11300546,100005,302,304
144,144,11400551,40004,305,306
145,145,11440555,40000,306,307
146,146,11480555,100005,307,309
147,147,11580560,40000,310,311
148,148,11620560,60004,311,312
149,149,11680564,40001,313,314
150,150,11720565,40004,314,315
151,151,11760569,80005,315,316
152,152,11840574,80004,317,318
153,153,11920578,100005,319,320
154,154,12020583,40000,322,323
155,155,12060583,40000,323,324
156,156,12100583,40005,324,325
157,157,12140588,100004,325,326
158,158,12240592,280014,328,328
159,159,12520606,80005,335,336
160,160,12600611,80000,337,338
161,161,12680611,140009,339,341
162,162,12820620,100005,343,344
163,163,12920625,40000,346,347
164,164,12960625,80004,347,348
165,165,13040629,120005,349,351
166,166,13160634,40005,352,354
167,167,13200639,180009,353,355
168,168,13380648,80004,358,359
169,169,13460652,160005,360,362
170,170,13620657,20000,364,366
171,171,13640657,80005,365,367
172,172,13720662,60004,367,369
173,173,13780666,40000,368,371
174,174,13820666,140010,369,372
175,175,13960676,60000,373,376
176,176,14020676,140009,375,377
177,177,14160685,80004,379,381
178,178,14240689,40001,381,383
179,179,14280690,40004,382,384
180,180,14320694,160005,383,385
181,181,14480699,20000,387,389
182,182,14500699,60004,388,390
183,183,14560703,40000,389,391
184,184,14600703,80005,390,392
185,185,14680708,100005,392,395
186,186,14780713,140009,395,397
187,187,14920722,40000,399,401
188,188,14960722,40004,400,402
189,189,15000726,40000,401,403
190,190,15040726,100005,402,404
191,191,15140731,80005,405,406
192,192,15220736,60004,407,409
193,193,15280740,40000,409,410
194,194,15320740,40000,410,411
195,195,15360740,40005,411,412
196,196,15400745,80005,412,413
197,197,15480750,60000,414,415
198,198,15540750,100004,415,417
199,199,15640754,100005,418,419
200,200,15740759,40004,421,422
201,201,15780763,40001,422,423
202,202,15820764,40004,423,425
203,203,15860768,60000,424,426
204,204,15920768,40005,426,427
205,205,15960773,40000,427,429
206,206,16000773,40004,428,430
207,207,16040777,120005,429,431
208,208,16160782,160005,432,434
209,209,16320787,100004,436,438
210,210,16420791,20005,439,441
211,211,16440796,60000,440,442
212,212,16500796,60004,441,443
213,213,16560800,20001,442,445
214,214,16580801,80004,443,446
215,215,16660805,60005,445,448
216,216,16720810,180004,447,450
217,217,16900814,100010,451,454
218,218,17000824,20000,454,457
219,219,17020824,60000,455,458
220,220,17080824,80004,456,459
221,221,17160828,60005,458,461
222,222,17220833,20000,459,462
223,223,17240833,80004,460,463
224,224,17320837,40001,462,465
225,225,17360838,40004,463,466
226,226,17400842,40000,464,467
227,227,17440842,80005,465,468
228,228,17520847,40000,467,470
229,229,17560847,100005,468,471
230,230,17660852,20004,471,473
231,231,17680856,40000,472,474
232,232,17720856,160009,473,476
233,233,17880865,120005,477,480
234,234,18000870,180009,481,482
235,235,18180879,60000,485,488
236,236,18240879,40005,487,489
237,237,18280884,40000,488,490
238,238,18320884,40004,489,491
239,239,18360888,60001,490,492
240,240,18420889,140009,492,494
241,241,18560898,40000,496,498
242,242,18600898,80004,497,499
243,243,18680902,40000,500,501
244,244,18720902,120009,501,503
245,245,18840911,100005,504,506
246,246,18940916,60000,506,509
247,247,19000916,40005,508,510
248,248,19040921,40000,509,512
249,249,19080921,80004,510,513
250,250,19160925,40001,512,515
251,251,19200926,20004,513,516
252,252,19220930,140005,514,517
253,253,19360935,140009,517,520
254,254,19500944,60000,521,524
255,255,19560944,80005,523,525
256,256,19640949,40000,525,527
257,257,19680949,40004,526,529
258,258,19720953,40000,527,530
259,259,19760953,60005,528,531
260,260,19820958,60004,529,532
261,261,19880962,80001,531,534
262,262,19960963,40004,533,535
263,263,20000967,40000,534,537
264,264,20040967,120005,535,539
265,265,20160972,40004,538,542
266,266,20200976,120005,539,543
267,267,20320981,20000,542,546
268,268,20340981,140009,543,547
269,269,20480990,60000,547,550
270,270,20540990,140009,549,552
271,271,20680999,100005,552,556
272,272,20781004,60005,555,558
273,273,20841009,40000,556,560
274,274,20881009,120004,557,561
275,275,21001013,140010,561,564
276,276,21141023,40000,564,568
277,277,21181023,20000,565,569
278,278,21201023,100004,566,570
279,279,21301027,60005,569,572
280,280,21361032,240014,570,575
281,281,21601046,100004,577,581
282,282,21701050,60000,580,584
283,283,21761050,100005,582,585
284,284,21861055,20000,584,588
285,285,21881055,40005,585,589
286,286,21921060,120004,586,590
287,287,22041064,80005,589,593
288,288,22121069,200009,592,595
289,289,22321078,40000,597,600
290,290,22361078,180009,598,602
291,291,22541087,60005,602,607
292,292,22601092,40000,604,608
293,293,22641092,80005,605,610
294,294,22721097,60004,607,612
295,295,22781101,120005,609,613
296,296,22901106,60004,612,617
297,297,22961110,80005,614,618
298,298,23041115,80000,616,620
299,299,23121115,40005,618,622
300,300,23161120,60000,619,623
301,301,23221120,100005,621,625
302,302,23321125,40004,624,627
303,303,23361129,40000,625,629
304,304,23401129,120009,626,630
305,305,23521138,40000,629,633
306,306,23561138,160009,630,634
307,307,23721147,40001,634,638
308,308,23761148,80004,635,639
309,309,23841152,40000,637,641
310,310,23881152,20005,638,642
311,311,23901157,120004,639,643
312,312,24021161,80005,642,646
313,313,24101166,100005,644,648
314,314,24201171,40000,646,650
315,315,24241171,40004,647,652
316,316,24281175,140005,648,653
317,317,24421180,180009,652,656
318,318,24601189,80005,657,661
319,319,24681194,60000,659,664
320,320,24741194,40004,661,665
321,321,24781198,260010,662,666
322,322,25041208,100004,669,673
323,323,25141212,40005,672,676
324,324,25181217,40000,673,677
325,325,25221217,60005,674,678
326,326,25281222,40000,676,679
327,327,25321222,40004,677,680
328,328,25361226,40000,678,682
329,329,25401226,40005,679,683
330,330,25441231,40000,680,684
331,331,25481231,40000,681,685
332,332,25521231,40004,682,686
333,333,25561235,160010,683,687
334,334,25721245,40000,687,691
335,335,25761245,100004,688,692
336,336,25861249,40000,691,695
337,337,25901249,100005,692,696
338,338,26001254,80005,695,698
339,339,26081259,60004,697,701
340,340,26141263,80005,698,702
341,341,26221268,100004,701,704
342,342,26321272,40000,704,707
343,343,26361272,40005,705,708
344,344,26401277,40000,706,709
345,345,26441277,160009,707,710
346,346,26601286,60000,711,714
347,347,26661286,80005,713,715
348,348,26741291,20000,715,717
349,349,26761291,60005,716,718
350,350,26821296,160009,717,720
351,351,26981305,20000,721,724
352,352,27001305,120005,722,725
353,353,27121310,40004,725,728
354,354,27161314,180005,726,729
355,355,27341319,180009,731,734
356,356,27521328,40005,736,739
357,357,27561333,80004,737,740
358,358,27641337,40000,739,741
359,359,27681337,80005,740,743
360,360,27761342,40000,743,745
361,361,27801342,40004,744,746
362,362,27841346,100005,745,747
363,363,27941351,80005,747,750
364,364,28021356,60000,749,752
365,365,28081356,40004,751,754
366,366,28121360,80000,752,755
367,367,28201360,40005,754,757
368,368,28241365,40000,755,758
369,369,28281365,20000,756,759
370,370,28301365,40005,757,760
371,371,28341370,40000,758,761
372,372,28381370,20004,759,762
373,373,28401374,140005,760,763
374,374,28541379,60004,763,766
375,375,28601383,40001,765,768
376,376,28641384,80004,766,769
377,377,28721388,20000,768,771
378,378,28741388,120005,769,772
379,379,28861393,60004,772,775
380,380,28921397,40001,774,777
381,381,28961398,80004,775,778
382,382,29041402,60005,777,780
383,383,29101407,40000,779,782
384,384,29141407,80004,780,783
385,385,29221411,100005,782,785
386,386,29321416,240014,785,788
387,387,29561430,100004,791,795
388,388,29661434,20000,794,797
389,389,29681434,140005,795,798
390,390,29821439,60005,798,802
391,391,29881444,120004,800,803
392,392,30001448,20000,803,806
393,393,30021448,140010,804,807
394,394,30161458,200009,808,810
395,395,30361467,40000,814,815
396,396,30401467,60005,815,817
397,397,30461472,100004,816,818
398,398,30561476,20000,819,821
399,399,30581476,100005,820,822
400,400,30681481,180009,822,824
401,401,30861490,120005,827,829
402,402,30981495,40004,830,832
403,403,31021499,100005,831,833
404,404,31121504,140005,834,836
405,405,31261509,80004,838,839
406,406,31341513,20000,840,841
407,407,31361513,140009,841,842
408,408,31501522,100005,844,845
409,409,31601527,40000,847,848
410,410,31641527,40005,848,849
411,411,31681532,40000,849,850
412,412,31721532,140009,850,852
413,413,31861541,140005,854,855
414,414,32001546,40004,858,859
415,415,32041550,140005,859,860
416,416,32181555,100004,862,864
417,417,32281559,80005,865,866
418,418,32361564,20000,867,868
419,419,32381564,160009,868,869
420,420,32541573,40000,872,873
421,421,32581573,60005,873,874
422,422,32641578,40000,875,876
423,423,32681578,40004,876,877
424,424,32721582,100005,877,878
425,425,32821587,40000,880,880
426,426,32861587,60005,881,882
427,427,32921592,40000,883,883
428,428,32961592,60004,884,885
429,429,33021596,40000,885,886
430,430,33061596,100005,886,887
431,431,33161601,40005,889,890
432,432,33201606,80004,890,891
433,433,33281610,160005,892,893
434,434,33441615,40004,896,897
435,435,33481619,120005,897,898
436,436,33601624,80005,900,901
437,437,33681629,40000,902,903
438,438,33721629,40004,903,904
439,439,33761633,40000,904,905
440,440,33801633,40000,905,906
441,441,33841633,80005,906,907
442,442,33921638,120005,908,909
443,443,34041643,40004,912,912
444,444,34081647,80005,913,913
445,445,34161652,60000,915,915
446,446,34221652,60005,917,917
447,447,34281657,40000,919,918
448,448,34321657,220013,920,919
449,449,34541670,20000,925,925
450,450,34561670,120005,926,926
451,451,34681675,100005,929,929
452,452,34781680,80004,932,931
453,453,34861684,60005,934,934
454,454,34921689,160005,936,935
455,455,35081694,140009,940,939
456,456,35221703,40000,944,943
457,457,35261703,40004,946,944
458,458,35301707,80005,947,945
459,459,35381712,120005,949,947
460,460,35501717,140004,952,950
461,461,35641721,40005,956,954
462,462,35681726,180009,957,955
463,463,35861735,20000,961,959
464,464,35881735,40000,962,960
465,465,35921735,80005,963,962
466,466,36001740,40000,965,963
467,467,36041740,60004,966,964
468,468,36101744,160010,968,966
469,469,36261754,60000,972,971
470,470,36321754,40004,974,972
471,471,36361758,40000,975,974
472,472,36401758,40005,976,975
473,473,36441763,120005,977,976
474,474,36561768,120004,980,979
475,475,36681772,40005,984,982
476,476,36721777,160004,985,984
477,477,36881781,180010,989,988
478,478,37061791,140009,994,993
479,479,37201800,20000,998,996
480,480,37221800,60000,999,997
481,481,37281800,80005,1000,999
482,482,37361805,80004,1003,1000
483,483,37441809,120005,1005,1003
484,484,37561814,20004,1008,1006
485,485,37581818,100005,1009,1007
486,486,37681823,100005,1011,1009
487,487,37781828,80000,1014,1011
488,488,37861828,40004,1016,1014
489,489,37901832,100005,1017,1015
490,490,38001837,100005,1020,1016
491,491,38101842,40000,1023,1019
492,492,38141842,40004,1024,1020
493,493,38181846,40000,1025,1022
494,494,38221846,100005,1026,1023
495,495,38321851,40004,1029,1025
496,496,38361855,40000,1030,1027
497,497,38401855,140010,1032,1028
498,498,38541865,20000,1035,1032
499,499,38561865,80004,1036,1033
500,500,38641869,40000,1038,1035
501,501,38681869,40000,1039,1036
502,502,38721869,40005,1040,1038
503,503,38761874,80005,1041,1039
504,504,38841879,80004,1043,1041
505,505,38921883,120005,1045,1043
506,506,39041888,140005,1049,1046
507,507,39181893,160009,1052,1050
508,508,39341902,200009,1057,1054
509,509,39541911,60005,1062,1060
510,510,39601916,40000,1064,1061
511,511,39641916,40000,1065,1062
512,512,39681916,100009,1066,1064
513,513,39781925,60000,1069,1066
514,514,39841925,60004,1070,1068
515,515,39901929,100005,1072,1070
516,516,40001934,200009,1075,1072
517,517,40201943,40000,1080,1078
518,518,40241943,80005,1081,1079
519,519,40321948,40005,1084,1081
520,520,40361953,60000,1085,1083
521,521,40421953,140009,1087,1084
522,522,40561962,160005,1091,1088
523,523,40721967,20004,1095,1092
524,524,40741971,180005,1096,1093
525,525,40921976,120009,1101,1098
526,526,41041985,40000,1104,1101
527,527,41081985,40005,1105,1102
528,528,41121990,40000,1106,1103
529,529,41161990,100004,1107,1104
530,530,41261994,20000,1109,1106
531,531,41281994,40005,1110,1107
532,532,41321999,20000,1111,1108
533,533,41341999,60000,1112,1109
534,534,41401999,40005,1113,1110
535,535,41442004,40000,1114,1111
536,536,41482004,80004,1115,1112
537,537,41562008,40005,1117,1114
538,538,41602013,20000,1118,1115
539,539,41622013,120004,1119,1116
540,540,41742017,160010,1122,1119
541,541,41902027,20000,1126,1123
542,542,41922027,120004,1127,1124
543,543,42042031,60005,1130,1127
544,544,42102036,40000,1132,1129
545,545,42142036,40004,1133,1130
546,546,42182040,180010,1134,1131
547,547,42362050,20000,1139,1136
548,548,42382050,60000,1140,1137
549,549,42442050,40004,1141,1139
550,550,42482054,80005,1142,1140
551,551,42562059,40000,1144,1142
552,552,42602059,100005,1145,1143
553,553,42702064,60004,1148,1146
554,554,42762068,40000,1150,1147
555,555,42802068,140009,1151,1148
556,556,42942077,40001,1154,1151
557,557,42982078,80004,1156,1152
558,558,43062082,60000,1158,1154
559,559,43122082,60005,1160,1156
560,560,43182087,80004,1161,1157
561,561,43262091,160010,1163,1160
562,562,43422101,160004,1167,1164
563,563,43582105,20005,1171,1168
564,564,43602110,120004,1172,1169
565,565,43722114,60001,1175,1172
566,566,43782115,80004,1177,1173
567,567,43862119,100005,1179,1176
568,568,43962124,40004,1182,1178
569,569,44002128,160005,1183,1179
570,570,44162133,40005,1187,1183
571,571,44202138,20000,1188,1184
572,572,44222138,140004,1189,1185
573,573,44362142,40005,1193,1187
574,574,44402147,40000,1194,1189
575,575,44442147,80005,1195,1190
576,576,44522152,60004,1197,1192
577,577,44582156,60000,1199,1194
578,578,44642156,40005,1201,1196
579,579,44682161,40000,1202,1197
580,580,44722161,180009,1203,1198
581,581,44902170,60005,1208,1203
582,582,44962175,40000,1210,1204
583,583,45002175,40004,1211,1205
584,584,45042179,180005,1212,1207
585,585,45222184,100009,1217,1211
586,586,45322193,40000,1220,1214
587,587,45362193,200009,1221,1215
588,588,45562202,180010,1226,1220
589,589,45742212,80004,1231,1224
590,590,45822216,100005,1233,1227
591,591,45922221,40000,1236,1229
592,592,45962221,120005,1237,1230
593,593,46082226,100009,1240,1234
594,594,46182235,40000,1243,1236
595,595,46222235,220009,1244,1238
596,596,46442244,140009,1250,1244
597,597,46582253,20000,1254,1248
598,598,46602253,40001,1255,1249
599,599,46642254,40004,1256,1250
600,600,46682258,40000,1257,1251
601,601,46722258,60005,1258,1252
602,602,46782263,80004,1260,1253
603,603,46862267,60000,1262,1255
604,604,46922267,200010,1264,1257
605,605,47122277,140009,1270,1262
606,606,47262286,60000,1273,1266
607,607,47322286,40004,1275,1267
608,608,47362290,40001,1276,1268
609,609,47402291,40004,1277,1269
610,610,47442295,40000,1278,1270
611,611,47482295,60005,1279,1271
612,612,47542300,40000,1280,1273
613,613,47582300,40004,1281,1274
614,614,47622304,100005,1283,1275
615,615,47722309,100004,1285,1278
616,616,47822313,40001,1288,1280
617,617,47862314,140009,1289,1281
618,618,48002323,40000,1293,1285
619,619,48042323,40000,1294,1286
620,620,48082323,80004,1295,1287
621,621,48162327,120010,1297,1290
622,622,48282337,80000,1300,1292
623,623,48362337,100004,1302,1295
624,624,48462341,80005,1305,1298
625,625,48542346,40004,1307,1301
626,626,48582350,60001,1308,1302
627,627,48642351,40004,1310,1303
628,628,48682355,40000,1311,1304
629,629,48722355,60005,1312,1306
630,630,48782360,40000,1314,1307
631,631,48822360,100005,1315,1308
632,632,48922365,40004,1318,1311
633,633,48962369,40000,1319,1312
634,634,49002369,40005,1320,1313
635,635,49042374,80000,1321,1314
636,636,49122374,120009,1323,1316
637,637,49242383,160005,1326,1319
638,638,49402388,40004,1330,1323
639,639,49442392,100005,1331,1324
640,640,49542397,60000,1334,1326
641,641,49602397,40004,1336,1328
642,642,49642401,40001,1337,1329
643,643,49682402,140009,1338,1330
644,644,49822411,40000,1341,1334
645,645,49862411,100004,1343,1335
646,646,49962415,100005,1345,1338
647,647,50062420,60005,1348,1340
648,648,50122425,200009,1350,1342
649,649,50322434,120005,1355,1347
650,650,50442439,120004,1358,1351
651,651,50562443,60005,1361,1354
652,652,50622448,80004,1363,1355
653,653,50702452,20000,1365,1357
654,654,50722452,160010,1366,1358
655,655,50882462,220009,1370,1362
656,656,51102471,20000,1376,1367
657,657,51122471,160009,1377,1368
658,658,51282480,40000,1381,1373
659,659,51322480,40005,1382,1374
660,660,51362485,200009,1383,1375
661,661,51562494,20000,1388,1380
662,662,51582494,40004,1389,1381
663,663,51622498,80001,1390,1382
664,664,51702499,80004,1392,1384
665,665,51782503,80005,1394,1385
666,666,51862508,140009,1396,1388
667,667,52002517,40000,1400,1391
668,668,52042517,40000,1401,1393
669,669,52082517,120009,1402,1394
670,670,52202526,20000,1405,1397
671,671,52222526,100005,1406,1398
672,672,52322531,40000,1408,1400
673,673,52362531,40005,1409,1402
674,674,52402536,40000,1410,1403
675,675,52442536,60004,1411,1404
676,676,52502540,20000,1412,1405
677,677,52522540,40000,1413,1406
678,678,52562540,140009,1414,1407
679,679,52702549,40001,1418,1410
680,680,52742550,140009,1419,1412
681,681,52882559,40000,1423,1416
682,682,52922559,40004,1424,1417
683,683,52962563,80000,1425,1418
684,684,53042563,100005,1427,1421
685,685,53142568,180009,1430,1423
686,686,53322577,40005,1435,1427
687,687,53362582,40000,1436,1429
688,688,53402582,100005,1437,1430
689,689,53502587,60004,1439,1433
690,690,53562591,80005,1441,1435
691,691,53642596,40000,1443,1436
692,692,53682596,40004,1444,1438
693,693,53722600,60000,1445,1439
694,694,53782600,80005,1447,1440
695,695,53862605,20000,1449,1443
696,696,53882605,20000,1450,1444
697,697,53902605,100005,1451,1445
698,698,54002610,40004,1453,1447
699,699,54042614,40000,1454,1448
700,700,54082614,40005,1455,1449
701,701,54122619,60000,1456,1450
702,702,54182619,40004,1458,1452
703,703,54222623,40001,1459,1453
704,704,54262624,100004,1460,1454
705,705,54362628,40005,1463,1457
706,706,54402633,160004,1464,1458
707,707,54562637,40005,1468,1462
708,708,54602642,40000,1469,1463
709,709,54642642,40005,1470,1464
710,710,54682647,140004,1471,1465
711,711,54822651,80005,1475,1469
712,712,54902656,40000,1477,1472
713,713,54942656,60005,1478,1473
